"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","Удалить задачу","api-tests","Mon Apr 28 21:23:25 GMT 2025","passed","Mon Apr 28 21:23:26 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","449","Обновить задачу","api-tests","Mon Apr 28 21:23:25 GMT 2025","passed","Mon Apr 28 21:23:25 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","220","Получить все задачи","api-tests","Mon Apr 28 21:23:24 GMT 2025","passed","Mon Apr 28 21:23:24 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20555","Пользователь может добавить задачу на доску","ui-tests","Mon Apr 28 21:21:38 GMT 2025","passed","Mon Apr 28 21:21:59 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","20098","Пользователь может завершить задачу кликнув чекбокс","ui-tests","Mon Apr 28 21:21:59 GMT 2025","passed","Mon Apr 28 21:22:19 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","221","Получить одну задачу","api-tests","Mon Apr 28 21:23:24 GMT 2025","passed","Mon Apr 28 21:23:25 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","20988","Пользователь может создать новый проект","ui-tests","Mon Apr 28 21:22:40 GMT 2025","passed","Mon Apr 28 21:23:01 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","22014","Пользователь может удалить проект","ui-tests","Mon Apr 28 21:23:01 GMT 2025","passed","Mon Apr 28 21:23:23 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
"","218","Создать задачу","api-tests","Mon Apr 28 21:23:25 GMT 2025","passed","Mon Apr 28 21:23:25 GMT 2025","API tests","e2e/api/api.spec.ts","",""
"","21046","Пользователь может изменить заголовок задачи","ui-tests","Mon Apr 28 21:22:19 GMT 2025","passed","Mon Apr 28 21:22:40 GMT 2025","UI tests","e2e/ui/ui.spec.ts","",""
